loan_id,customer_id,loan_type,city,employment_type,loan_amount,interest_rate,tenure_years,monthly_emi,monthly_income,emi_to_income_ratio,credit_score,loan_status,disbursal_date,amount_recovered,disbursal_year,disbursal_quarter,credit_category,emi_burden_category,is_defaulted,ltv_approx
LOAN100052,CUST200052,Auto Loan,Ahmedabad,Self-Employed,1067000,8.63,5,21958,130917,16.8,700,NPA,2020-08-06,607480,2020,2020Q3,Good,Low Burden,1,80
LOAN100053,CUST200053,Business Loan,Hyderabad,Business Owner,1205000,11.65,7,21047,214713,9.8,676,Defaulted,2021-04-16,310175,2021,2021Q2,Fair,Low Burden,1,80
LOAN100054,CUST200054,Personal Loan,Kolkata,Business Owner,329000,17.32,2,16317,288533,5.7,694,Active,2023-01-09,0,2023,2023Q1,Fair,Low Burden,0,80
LOAN100055,CUST200055,Business Loan,Ahmedabad,Salaried,2758000,14.48,5,64862,44607,145.4,503,NPA,2022-01-19,1496279,2022,2022Q1,Very Poor,Critical Burden,1,80
LOAN100056,CUST200056,Home Loan,Jaipur,Salaried,1690000,8.41,10,20872,108059,19.3,884,Active,2023-08-19,0,2023,2023Q3,Excellent,Low Burden,0,80
LOAN100057,CUST200057,Auto Loan,Jaipur,Freelancer,1044000,9.22,3,33306,401146,8.3,800,Closed,2020-11-12,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN100058,CUST200058,Business Loan,Jaipur,Salaried,1343000,15.13,7,26014,145336,17.9,665,Active,2021-01-23,0,2021,2021Q1,Fair,Low Burden,0,80
LOAN100059,CUST200059,Home Loan,Chennai,Salaried,3482000,9.44,30,29126,73193,39.8,584,NPA,2023-05-05,1858532,2023,2023Q2,Very Poor,Moderate Burden,1,80
LOAN100060,CUST200060,Personal Loan,Jaipur,Salaried,494000,11.77,3,16354,63554,25.7,839,Active,2020-08-20,0,2020,2020Q3,Excellent,Moderate Burden,0,80
LOAN100061,CUST200061,Education Loan,Jaipur,Salaried,1578000,10.18,5,33668,209345,16.1,866,Active,2023-11-06,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN100062,CUST200062,Education Loan,Ahmedabad,Self-Employed,240000,9.87,5,5084,288469,1.8,675,Closed,2020-08-22,0,2020,2020Q3,Fair,Low Burden,0,80
LOAN100063,CUST200063,Education Loan,Bangalore,Business Owner,1787000,8.29,15,17378,33302,52.2,346,NPA,2020-07-16,270331,2020,2020Q3,Very Poor,High Burden,1,80
LOAN100064,CUST200064,Business Loan,Delhi,Freelancer,368000,12.54,7,6603,38317,17.2,797,Defaulted,2020-11-12,0,2020,2020Q4,Excellent,Low Burden,1,80
LOAN100065,CUST200065,Auto Loan,Pune,Business Owner,1299000,8.9,5,26902,160997,16.7,657,Active,2023-12-10,0,2023,2023Q4,Fair,Low Burden,0,80
LOAN100066,CUST200066,Auto Loan,Mumbai,Salaried,208000,8.57,3,6573,130380,5,729,Closed,2023-03-08,0,2023,2023Q1,Good,Low Burden,0,80
LOAN100067,CUST200067,Personal Loan,Mumbai,Business Owner,121000,12.9,1,10802,93658,11.5,823,Closed,2022-09-23,0,2022,2022Q3,Excellent,Low Burden,0,80
LOAN100068,CUST200068,Personal Loan,Delhi,Business Owner,228000,13.11,1,20376,252708,8.1,786,Closed,2022-10-21,0,2022,2022Q4,Excellent,Low Burden,0,80
LOAN100069,CUST200069,Education Loan,Pune,Freelancer,1737000,8.94,5,36007,114742,31.4,693,Closed,2023-06-19,0,2023,2023Q2,Fair,Moderate Burden,0,80
LOAN100070,CUST200070,Home Loan,Bangalore,Business Owner,2465000,7.99,10,29894,26790,111.6,571,Defaulted,2021-12-16,1474705,2021,2021Q4,Very Poor,Critical Burden,1,80
LOAN100071,CUST200071,Personal Loan,Pune,Business Owner,96000,15.22,3,3338,427963,0.8,824,Defaulted,2023-07-25,39405,2023,2023Q3,Excellent,Low Burden,1,80
LOAN100072,CUST200072,Personal Loan,Kolkata,Freelancer,248000,13.12,5,5658,26208,21.6,815,Closed,2020-07-03,0,2020,2020Q3,Excellent,Low Burden,0,80
LOAN100073,CUST200073,Home Loan,Surat,Freelancer,2524000,8.8,30,19947,75965,26.3,660,Active,2022-06-15,0,2022,2022Q2,Fair,Moderate Burden,0,80
LOAN100074,CUST200074,Personal Loan,Pune,Self-Employed,214000,16.42,3,7568,146956,5.1,835,Closed,2023-05-19,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN100075,CUST200075,Home Loan,Ahmedabad,Salaried,3122000,9.33,15,32281,147071,21.9,858,Active,2023-12-10,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN100076,CUST200076,Business Loan,Bangalore,Freelancer,1213000,11.15,7,20865,40000,52.2,472,Defaulted,2023-05-08,533620,2023,2023Q2,Very Poor,High Burden,1,80
LOAN100077,CUST200077,Business Loan,Surat,Business Owner,2465000,15.82,5,59709,70096,85.2,458,NPA,2021-02-01,1309910,2021,2021Q1,Very Poor,Critical Burden,1,80
LOAN100078,CUST200078,Education Loan,Chennai,Salaried,977000,8.49,10,12108,86262,14,791,Defaulted,2022-11-22,479971,2022,2022Q4,Excellent,Low Burden,1,80
LOAN100079,CUST200079,Home Loan,Pune,Salaried,3934000,8.4,20,33892,324469,10.4,778,Active,2022-03-01,0,2022,2022Q1,Excellent,Low Burden,0,80
LOAN100080,CUST200080,Personal Loan,Chennai,Salaried,63000,15.55,1,5703,411661,1.4,807,Active,2020-06-11,0,2020,2020Q2,Excellent,Low Burden,0,80
LOAN100081,CUST200081,Personal Loan,Chennai,Self-Employed,426000,13.02,5,9697,35878,27,811,Active,2021-05-10,0,2021,2021Q2,Excellent,Moderate Burden,0,80
LOAN100082,CUST200082,Education Loan,Chennai,Freelancer,103000,8.26,10,1264,21354,5.9,749,Closed,2020-03-30,0,2020,2020Q1,Good,Low Burden,0,80
LOAN100083,CUST200083,Home Loan,Delhi,Self-Employed,2107000,8.19,10,25776,41773,61.7,537,NPA,2021-01-08,765246,2021,2021Q1,Very Poor,Critical Burden,1,80
LOAN100084,CUST200084,Education Loan,Chennai,Business Owner,170000,10.8,7,2893,61721,4.7,723,Active,2020-04-07,0,2020,2020Q2,Good,Low Burden,0,80
LOAN100085,CUST200085,Home Loan,Kolkata,Self-Employed,4097000,9.28,25,35171,29924,117.5,517,Active,2023-05-18,0,2023,2023Q2,Very Poor,Critical Burden,0,80
LOAN100086,CUST200086,Auto Loan,Ahmedabad,Salaried,618000,9.78,3,19877,473482,4.2,720,Active,2020-04-27,0,2020,2020Q2,Good,Low Burden,0,80
LOAN100087,CUST200087,Auto Loan,Jaipur,Self-Employed,867000,8.57,7,13761,309899,4.4,893,Active,2023-05-24,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN100088,CUST200088,Auto Loan,Jaipur,Business Owner,684000,9.59,3,21939,22269,98.5,434,NPA,2021-03-15,333259,2021,2021Q1,Very Poor,Critical Burden,1,80
LOAN100089,CUST200089,Personal Loan,Pune,Self-Employed,105000,17.29,1,9591,121691,7.9,878,Active,2020-11-18,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN100090,CUST200090,Business Loan,Surat,Freelancer,828000,13.43,5,19022,29348,64.8,458,Defaulted,2022-09-07,409292,2022,2022Q3,Very Poor,Critical Burden,1,80
LOAN100091,CUST200091,Home Loan,Chennai,Self-Employed,1064000,8.78,20,9423,489879,1.9,778,Defaulted,2020-09-11,138828,2020,2020Q3,Excellent,Low Burden,1,80
LOAN100092,CUST200092,Personal Loan,Bangalore,Self-Employed,123000,17.59,2,6116,32701,18.7,778,Active,2023-04-27,0,2023,2023Q2,Excellent,Low Burden,0,80
LOAN100093,CUST200093,Business Loan,Chennai,Business Owner,2218000,10.27,7,37132,430088,8.6,676,Active,2022-10-16,0,2022,2022Q4,Fair,Low Burden,0,80
LOAN100094,CUST200094,Education Loan,Pune,Salaried,565000,9.32,15,5839,117510,5,899,Active,2022-01-28,0,2022,2022Q1,Excellent,Low Burden,0,80
LOAN100095,CUST200095,Personal Loan,Chennai,Freelancer,260000,11.99,3,8634,188277,4.6,698,Closed,2022-10-17,0,2022,2022Q4,Fair,Low Burden,0,80
LOAN100096,CUST200096,Education Loan,Pune,Business Owner,144000,9.06,15,1466,29898,4.9,866,Active,2020-10-01,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN100097,CUST200097,Education Loan,Bangalore,Business Owner,795000,8.87,15,8002,29007,27.6,682,NPA,2021-11-25,251734,2021,2021Q4,Fair,Moderate Burden,1,80
LOAN100098,CUST200098,Personal Loan,Surat,Business Owner,321000,11.32,5,7031,141861,5,691,Active,2023-06-16,0,2023,2023Q2,Fair,Low Burden,0,80
LOAN100099,CUST200099,Auto Loan,Mumbai,Self-Employed,860000,9.2,7,13924,33476,41.6,652,Active,2023-09-04,0,2023,2023Q3,Fair,High Burden,0,80
LOAN100100,CUST200100,Business Loan,Bangalore,Salaried,1545000,10.66,10,20986,407150,5.2,778,Closed,2022-08-23,0,2022,2022Q3,Excellent,Low Burden,0,80
LOAN100101,CUST200101,Business Loan,Kolkata,Business Owner,781000,12.76,7,14106,161104,8.8,806,Active,2021-05-19,0,2021,2021Q2,Excellent,Low Burden,0,80
LOAN100102,CUST200102,Auto Loan,Mumbai,Business Owner,492000,10.76,5,10638,286337,3.7,879,NPA,2020-10-26,270653,2020,2020Q4,Excellent,Low Burden,1,80
LOAN100103,CUST200103,Auto Loan,Hyderabad,Self-Employed,1442000,9.03,3,45875,77321,59.3,424,Active,2022-12-23,0,2022,2022Q4,Very Poor,Critical Burden,0,80
LOAN100104,CUST200104,Home Loan,Chennai,Business Owner,951000,8.93,20,8514,463520,1.8,816,Active,2021-08-11,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN100105,CUST200105,Home Loan,Mumbai,Salaried,4586000,8.8,10,57598,38429,149.9,503,NPA,2021-08-15,928534,2021,2021Q3,Very Poor,Critical Burden,1,80
LOAN100106,CUST200106,Auto Loan,Bangalore,Business Owner,938000,9.82,3,30187,37785,79.9,469,Active,2022-07-28,0,2022,2022Q3,Very Poor,Critical Burden,0,80
LOAN100108,CUST200108,Personal Loan,Delhi,Business Owner,251000,13.11,3,8470,292042,2.9,825,Active,2023-12-11,0,2023,2023Q4,Excellent,Low Burden,0,80
LOAN100109,CUST200109,Auto Loan,Kolkata,Salaried,678000,8.61,3,21437,61969,34.6,845,Active,2023-05-05,0,2023,2023Q2,Excellent,Moderate Burden,0,80
LOAN100110,CUST200110,Education Loan,Kolkata,Freelancer,1104000,9.64,10,14370,31454,45.7,674,Defaulted,2023-04-09,0,2023,2023Q2,Fair,High Burden,1,80
LOAN100111,CUST200111,Education Loan,Delhi,Business Owner,1637000,9.68,15,17272,40871,42.3,648,Active,2022-05-17,0,2022,2022Q2,Poor,High Burden,0,80
LOAN100112,CUST200112,Business Loan,Kolkata,Freelancer,2984000,10.81,3,97424,312338,31.2,764,Defaulted,2022-02-12,0,2022,2022Q1,Excellent,Moderate Burden,1,80
LOAN100113,CUST200113,Personal Loan,Jaipur,Self-Employed,344000,17.95,3,12428,338901,3.7,786,Active,2021-04-15,0,2021,2021Q2,Excellent,Low Burden,0,80
LOAN100114,CUST200114,Auto Loan,Hyderabad,Salaried,402000,8.45,3,12681,35321,35.9,652,Active,2023-05-09,0,2023,2023Q2,Fair,Moderate Burden,0,80
LOAN100115,CUST200115,Home Loan,Ahmedabad,Self-Employed,2310000,8.58,15,22856,149133,15.3,710,Active,2020-10-20,0,2020,2020Q4,Good,Low Burden,0,80
LOAN100116,CUST200116,Auto Loan,Ahmedabad,Business Owner,558000,11.65,7,9746,192990,5.1,828,Active,2020-11-01,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN100117,CUST200117,Personal Loan,Jaipur,Salaried,389000,12.58,5,8768,358998,2.4,712,Active,2021-11-07,0,2021,2021Q4,Good,Low Burden,0,80
LOAN100118,CUST200118,Auto Loan,Mumbai,Business Owner,320000,9.51,7,5232,72186,7.2,718,Active,2021-11-12,0,2021,2021Q4,Good,Low Burden,0,80
LOAN100119,CUST200119,Personal Loan,Pune,Business Owner,472000,16.28,1,42888,284918,15.1,786,Active,2021-09-23,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN100120,CUST200120,Business Loan,Hyderabad,Freelancer,2672000,15.49,10,43914,56557,77.6,308,Defaulted,2023-04-11,0,2023,2023Q2,Very Poor,Critical Burden,1,80
LOAN100121,CUST200121,Auto Loan,Kolkata,Self-Employed,499000,10.62,7,8445,78660,10.7,837,Closed,2020-12-12,0,2020,2020Q4,Excellent,Low Burden,0,80
LOAN100122,CUST200122,Education Loan,Mumbai,Business Owner,450000,10.45,5,9661,45500,21.2,652,Active,2022-07-22,0,2022,2022Q3,Fair,Low Burden,0,80
LOAN100123,CUST200123,Business Loan,Hyderabad,Self-Employed,1986000,10.1,10,26355,350665,7.5,856,Defaulted,2020-07-16,394413,2020,2020Q3,Excellent,Low Burden,1,80
LOAN100124,CUST200124,Personal Loan,Ahmedabad,Salaried,329000,12.87,3,11065,31300,35.4,667,NPA,2020-03-05,150498,2020,2020Q1,Fair,Moderate Burden,1,80
LOAN100125,CUST200125,Education Loan,Delhi,Freelancer,817000,9.5,15,8531,35688,23.9,708,Defaulted,2023-11-18,0,2023,2023Q4,Good,Low Burden,1,80
LOAN100126,CUST200126,Auto Loan,Kolkata,Freelancer,1369000,11.4,7,23730,178508,13.3,691,Active,2023-03-06,0,2023,2023Q1,Fair,Low Burden,0,80
LOAN100127,CUST200127,Auto Loan,Jaipur,Business Owner,699000,10.9,7,11932,302178,3.9,898,Closed,2020-03-01,0,2020,2020Q1,Excellent,Low Burden,0,80
LOAN100128,CUST200128,Education Loan,Delhi,Salaried,533000,8.26,15,5174,68524,7.6,839,Active,2022-01-08,0,2022,2022Q1,Excellent,Low Burden,0,80
LOAN100129,CUST200129,Home Loan,Kolkata,Freelancer,4743000,8.22,25,37301,31095,120,466,NPA,2022-04-27,506492,2022,2022Q2,Very Poor,Critical Burden,1,80
LOAN100130,CUST200130,Personal Loan,Jaipur,Self-Employed,307000,12.19,2,14479,115970,12.5,714,Defaulted,2022-10-12,152424,2022,2022Q4,Good,Low Burden,1,80
LOAN100131,CUST200131,Home Loan,Jaipur,Self-Employed,1110000,9.4,10,14302,72619,19.7,726,Active,2023-11-24,0,2023,2023Q4,Good,Low Burden,0,80
LOAN100132,CUST200132,Auto Loan,Kolkata,Self-Employed,431000,10.78,5,9324,24848,37.5,644,Active,2023-01-22,0,2023,2023Q1,Poor,Moderate Burden,0,80
LOAN100133,CUST200133,Home Loan,Delhi,Freelancer,4789000,9.39,25,41476,160757,25.8,711,Active,2020-11-11,0,2020,2020Q4,Good,Moderate Burden,0,80
LOAN100134,CUST200134,Education Loan,Surat,Self-Employed,1982000,10.61,15,22044,20735,106.3,355,NPA,2021-12-28,915052,2021,2021Q4,Very Poor,Critical Burden,1,80
LOAN100135,CUST200135,Home Loan,Pune,Self-Employed,3034000,9.43,25,26360,69874,37.7,614,Active,2022-08-06,0,2022,2022Q3,Poor,Moderate Burden,0,80
LOAN100136,CUST200136,Home Loan,Chennai,Freelancer,2672000,8.33,20,22902,344878,6.6,674,Active,2023-11-27,0,2023,2023Q4,Fair,Low Burden,0,80
LOAN100137,CUST200137,Home Loan,Bangalore,Self-Employed,4146000,7.55,10,49322,299297,16.5,895,Active,2022-04-09,0,2022,2022Q2,Excellent,Low Burden,0,80
LOAN100138,CUST200138,Education Loan,Chennai,Salaried,852000,8.64,7,13553,71840,18.9,743,Active,2022-07-26,0,2022,2022Q3,Good,Low Burden,0,80
LOAN100139,CUST200139,Education Loan,Chennai,Self-Employed,1103000,9.04,10,13996,32347,43.3,672,Active,2020-08-29,0,2020,2020Q3,Fair,High Burden,0,80
LOAN100140,CUST200140,Home Loan,Jaipur,Business Owner,1324000,8.52,15,13053,67737,19.3,775,Active,2021-01-18,0,2021,2021Q1,Excellent,Low Burden,0,80
LOAN100141,CUST200141,Business Loan,Hyderabad,Salaried,350000,13.37,7,6438,413043,1.6,676,Active,2023-03-03,0,2023,2023Q1,Fair,Low Burden,0,80
LOAN100142,CUST200142,Auto Loan,Ahmedabad,Freelancer,243000,9.83,3,7822,93705,8.3,788,Closed,2020-03-26,0,2020,2020Q1,Excellent,Low Burden,0,80
LOAN100143,CUST200143,Home Loan,Bangalore,Freelancer,3812000,8.1,15,36650,173076,21.2,870,Defaulted,2023-07-19,0,2023,2023Q3,Excellent,Low Burden,1,80
LOAN100144,CUST200144,Personal Loan,Bangalore,Business Owner,416000,14.73,1,37494,25853,145,369,NPA,2020-05-01,221366,2020,2020Q2,Very Poor,Critical Burden,1,80
LOAN100145,CUST200145,Personal Loan,Jaipur,Business Owner,162000,16.33,3,5722,25374,22.6,753,Active,2021-07-23,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN100146,CUST200146,Education Loan,Chennai,Business Owner,722000,10.92,5,15669,319315,4.9,861,Active,2021-07-03,0,2021,2021Q3,Excellent,Low Burden,0,80
LOAN100147,CUST200147,Auto Loan,Bangalore,Self-Employed,912000,9.37,3,29159,71356,40.9,612,Active,2022-05-26,0,2022,2022Q2,Poor,High Burden,0,80
LOAN100148,CUST200148,Auto Loan,Hyderabad,Salaried,407000,8.33,5,8317,426570,1.9,817,Active,2020-07-13,0,2020,2020Q3,Excellent,Low Burden,0,80
LOAN100149,CUST200149,Education Loan,Pune,Business Owner,248000,9.03,7,3994,37207,10.7,837,Closed,2020-07-30,0,2020,2020Q3,Excellent,Low Burden,0,80
LOAN100150,CUST200150,Auto Loan,Delhi,Salaried,378000,8.27,3,11892,424481,2.8,807,Closed,2021-03-20,0,2021,2021Q1,Excellent,Low Burden,0,80
LOAN100151,CUST200151,Personal Loan,Ahmedabad,Self-Employed,389000,14.01,5,9053,24963,36.3,668,Closed,2021-02-24,0,2021,2021Q1,Fair,Moderate Burden,0,80
LOAN100152,CUST200152,Auto Loan,Delhi,Freelancer,1040000,10,3,33558,239595,14,743,Active,2020-12-19,0,2020,2020Q4,Good,Low Burden,0,80
LOAN100153,CUST200153,Home Loan,Delhi,Business Owner,3143000,8.02,10,38166,32571,117.2,574,Defaulted,2020-06-20,578231,2020,2020Q2,Very Poor,Critical Burden,1,80
LOAN100154,CUST200154,Business Loan,Jaipur,Salaried,2779000,14.09,5,64792,21322,303.9,425,Active,2022-06-08,0,2022,2022Q2,Very Poor,Critical Burden,0,80
LOAN100155,CUST200155,Business Loan,Mumbai,Salaried,1905000,10.82,7,32438,121605,26.7,692,Active,2021-07-04,0,2021,2021Q3,Fair,Moderate Burden,0,80
